gene_id	Zscore
AMY2A|279	-0.148912593
AMY2B|280	0.052787468
AMZ1|155185	0.084397237
AMZ2P1|201283	0.184691572
AMZ2|51321	-0.203881571
ANAPC10|10393	0.531576529
ANAPC11|51529	-0.513499184
ANAPC13|25847	0.142713706
ANAPC16|119504	0.126059761
ANAPC1|64682	-0.554055872
ANAPC2|29882	0.091466168
ANAPC4|29945	-0.055733359
ANAPC5|51433	-0.01277986
ANAPC7|51434	0.194534976
ANGEL1|23357	0.528357405
ANGEL2|90806	0.534519968
ANGPT1|284	0.033311066
ANGPT2|285	-0.329459995
ANGPT4|51378	-0.037415867
ANGPTL1|9068	-0.284283824
ANGPTL2|23452	-0.416704627
ANGPTL3|27329	-0.111793587
ANGPTL4|51129	0.045088861
ANGPTL5|253935	-0.09995494
ANGPTL6|83854	-0.100430471
ANGPTL7|10218	0.033129466
ANG|283	-0.151739561
ANK1|286	-0.473557447
ANK2|287	-0.030887051
ANK3|288	0.512767933
ANKAR|150709	-0.681009727
ANKDD1A|348094	-0.164678067
ANKFN1|162282	0.280062566
ANKFY1|51479	0.48439432
ANKHD1-EIF4EBP3|404734	0.306953855
ANKHD1|54882	-0.062093934
ANKH|56172	0.039885888
ANKIB1|54467	0.412765475
ANKK1|255239	0.13307556
ANKLE1|126549	-0.066168498
ANKLE2|23141	0.138283142
ANKMY1|51281	-0.024958037
ANKMY2|57037	-0.266614876
ANKRA2|57763	0.293241977
ANKRD10|55608	-0.354703485
ANKRD11|29123	-0.079134787
ANKRD12|23253	-0.48568484
ANKRD13A|88455	0.124486077
ANKRD13B|124930	0.203750635
ANKRD13C|81573	0.210209984
ANKRD13D|338692	-0.037340886
ANKRD16|54522	0.377523311
ANKRD17|26057	-0.104504584
ANKRD19|138649	-0.230582304
ANKRD1|27063	0.290259463
ANKRD20A3|441425	-0.062931121
ANKRD20A4|728747	-0.541312176
ANKRD20B|729171	-0.267242315
ANKRD22|118932	0.018170659
ANKRD23|200539	0.262289397
ANKRD24|170961	-0.397255333
ANKRD26P1|124149	0.421448179
ANKRD26|22852	-0.516778624
ANKRD27|84079	0.010580602
ANKRD28|23243	0.017913149
ANKRD29|147463	0.43182077
ANKRD2|26287	0.466181532
ANKRD30A|91074	-0.083523447
ANKRD30B|374860	0.326389804
ANKRD31|256006	-0.088599612
ANKRD32|84250	-0.36610323
ANKRD33|341405	0.205103811
ANKRD34A|284615	0.4878486
ANKRD34B|340120	-0.09232781
ANKRD34C|390616	-0.229443159
ANKRD35|148741	0.36769548
ANKRD36BP1|84832	0.170995702
ANKRD36B|57730	0.164146698
ANKRD36|375248	-0.115109498
ANKRD37|353322	0.009617016
ANKRD39|51239	-0.322110405
ANKRD40|91369	0.156738479
ANKRD42|338699	-0.079348283
ANKRD43|134548	0.058934893
ANKRD44|91526	0.088065737
ANKRD45|339416	0.04448205
ANKRD46|157567	0.041674848
ANKRD49|54851	0.455884101
ANKRD50|57182	-0.135815811
ANKRD52|283373	0.377139789
ANKRD53|79998	0.283357558
ANKRD54|129138	0.145350079
ANKRD55|79722	0.189865522
ANKRD56|345079	-0.055338464
ANKRD57|65124	-0.157743601
ANKRD58|347454	-0.048880305
ANKRD5|63926	0.147655763
ANKRD6|22881	0.044687102
ANKRD7|56311	0.275468156
ANKRD9|122416	0.171798689
ANKS1A|23294	-0.503349875
ANKS1B|56899	0.365173258
ANKS3|124401	-0.673456322
ANKS4B|257629	0.575533691
ANKS6|203286	-0.739168739
ANKZF1|55139	-0.314483555
ANLN|54443	-0.285334597
ANO10|55129	0.108437945
ANO1|55107	0.129721731
ANO2|57101	0.465809801
ANO3|63982	-0.134743869
ANO4|121601	-0.410657578
ANO5|203859	0.563516218
ANO6|196527	0.630347675
ANO7|50636	0.352425342
